season,sport,division,stage,rank,team,wins,losses,pct,points,source_page
2003-2004,Badminton,Women's,Standings,4,UST,,,,,IMG_0569
2003-2004,Badminton,Women's,Standings,4,UP,,,,,IMG_0574
2003-2004,Badminton,Women's,Standings,5,ADMU,,,,,IMG_0558
2003-2004,Badminton,Women's,Standings,5,DLSU,,,,,IMG_0559
2003-2004,Badminton,Women's,Standings,5,FEU,,,,,IMG_0560
2003-2004,Badminton,Women's,Standings,5,UST,,,,,IMG_0569
2003-2004,Badminton,Women's,Standings,5,UE,,,,,IMG_0576
2003-2004,Badminton,Women's,Standings,5,UP,,,,,IMG_0583
2003-2004,Baseball,Men's,Elimination Round,1,UP,9.0,1.0,,,IMG_0587
2003-2004,Baseball,Men's,Elimination Round,2,UST,9.0,1.0,,,IMG_0587
2003-2004,Baseball,Men's,Elimination Round,3,AdU,4.0,6.0,,,IMG_0587
2003-2004,Baseball,Men's,Elimination Round,4,NU,4.0,6.0,,,IMG_0587
2003-2004,Baseball,Men's,Elimination Round,5,DLSU,3.0,7.0,,,IMG_0587
2003-2004,Baseball,Men's,Elimination Round,6,ADMU,1.0,9.0,,,IMG_0587
2003-2004,Baseball,Men's,Final Standings,1,UP,9.0,1.0,,,IMG_0587
2003-2004,Baseball,Men's,Final Standings,2,UST,9.0,1.0,,,IMG_0587
2003-2004,Baseball,Men's,Final Standings,3,AdU,4.0,6.0,,,IMG_0587
2003-2004,Baseball,Men's,Final Standings,4,NU,4.0,6.0,,,IMG_0587
2003-2004,Baseball,Men's,Final Standings,5,DLSU,3.0,7.0,,,IMG_0587
2003-2004,Baseball,Men's,Final Standings,6,ADMU,1.0,9.0,,,IMG_0587
2003-2004,Baseball,Men's,Standings,1,(UST),,,,,IMG_0587
2003-2004,Baseball,Men's,Standings,2,(UST),,,,,IMG_0587
2003-2004,Baseball,Men's,Standings,3,(UP),,,,,IMG_0587
2003-2004,Baseball,Men's,Standings,4,(NU),,,,,IMG_0587
2003-2004,Baseball,Men's,Standings,5,(UP),,,,,IMG_0587
2003-2004,Baseball,Men's,Standings,6,(UP),,,,,IMG_0587
2003-2004,Baseball,Men's,Standings,7,(UST),,,,,IMG_0587
2003-2004,Baseball,Men's,Standings,8,(UP),,,,,IMG_0587
2003-2004,Basketball,Juniors,Elimination Round,1,ADMU,10.0,2.0,0.833,,IMG_0649
2003-2004,Basketball,Juniors,Elimination Round,2,AdU,10.0,2.0,0.833,,IMG_0649
2003-2004,Basketball,Juniors,Elimination Round,3,DLSZ,8.0,4.0,0.667,,IMG_0649
2003-2004,Basketball,Juniors,Elimination Round,4,UE,6.0,6.0,0.500,,IMG_0649
2003-2004,Basketball,Juniors,Elimination Round,5,UST,6.0,6.0,0.500,,IMG_0649
2003-2004,Basketball,Juniors,Elimination Round,6,UPIS,2.0,10.0,0.167,,IMG_0649
2003-2004,Basketball,Juniors,Elimination Round,7,NU,0.0,12.0,0.000,,IMG_0649
2003-2004,Basketball,Juniors,Final Standings,1,ADMU,10.0,2.0,0.833,,IMG_0594
2003-2004,Basketball,Juniors,Final Standings,2,AdU,10.0,2.0,0.833,,IMG_0594
2003-2004,Basketball,Juniors,Final Standings,3,DLSU,,,,,IMG_0594
2003-2004,Basketball,Juniors,Final Standings,4,UST,6.0,6.0,0.500,,IMG_0594
2003-2004,Basketball,Juniors,Final Standings,5,UE,6.0,6.0,0.500,,IMG_0594
2003-2004,Basketball,Juniors,Final Standings,6,UP,,,,,IMG_0594
2003-2004,Basketball,Juniors,Final Standings,7,NU,0.0,12.0,0.000,,IMG_0594
2003-2004,Basketball,Juniors,Standings,1,UE,6.0,6.0,0.500,,IMG_0594
2003-2004,Basketball,Juniors,Standings,2,DLSZ,8.0,4.0,0.667,,IMG_0594
2003-2004,Basketball,Juniors,Standings,3,UST,6.0,6.0,0.500,,IMG_0594
2003-2004,Basketball,Juniors,Standings,4,ADMU,10.0,2.0,0.833,,IMG_0594
2003-2004,Basketball,Juniors,Standings,5,UP,,,,,IMG_0594
2003-2004,Basketball,Men's,Elimination Round,1,ADMU,11.0,3.0,0.786,,IMG_0600
2003-2004,Basketball,Men's,Elimination Round,2,UE,11.0,3.0,0.786,,IMG_0600
2003-2004,Basketball,Men's,Elimination Round,3,FEU,11.0,3.0,0.786,,IMG_0600
2003-2004,Basketball,Men's,Elimination Round,4,DLSU,7.0,7.0,0.500,,IMG_0600
2003-2004,Basketball,Men's,Elimination Round,5,UST,5.0,9.0,0.357,,IMG_0600
2003-2004,Basketball,Men's,Elimination Round,6,AdU,5.0,9.0,0.357,,IMG_0600
2003-2004,Basketball,Men's,Elimination Round,7,UP,3.0,11.0,0.214,,IMG_0600
2003-2004,Basketball,Men's,Elimination Round,8,NU,3.0,11.0,0.214,,IMG_0600
2003-2004,Basketball,Men's,Final Standings,1,FEU,11.0,3.0,0.786,,IMG_0591
2003-2004,Basketball,Men's,Final Standings,2,ADMU,11.0,3.0,0.786,,IMG_0591
2003-2004,Basketball,Men's,Final Standings,3,UE,11.0,3.0,0.786,,IMG_0591
2003-2004,Basketball,Men's,Final Standings,4,DLSU,7.0,7.0,0.500,,IMG_0591
2003-2004,Basketball,Men's,Final Standings,5,AdU,5.0,9.0,0.357,,IMG_0591
2003-2004,Basketball,Men's,Final Standings,6,UST,5.0,9.0,0.357,,IMG_0591
2003-2004,Basketball,Men's,Final Standings,7,UP,3.0,11.0,0.214,,IMG_0591
2003-2004,Basketball,Men's,Final Standings,8,NU,3.0,11.0,0.214,,IMG_0591
2003-2004,Basketball,Men's,Standings,1,UE,11.0,3.0,0.786,,IMG_0591
2003-2004,Basketball,Men's,Standings,2,UE,11.0,3.0,0.786,,IMG_0591
2003-2004,Basketball,Men's,Standings,3,FEU,11.0,3.0,0.786,,IMG_0591
2003-2004,Basketball,Men's,Standings,4,ADMU,11.0,3.0,0.786,,IMG_0591
2003-2004,Basketball,Men's,Standings,5,NU,3.0,11.0,0.214,,IMG_0591
2003-2004,Basketball,Women's,Elimination Round,1,AdU,11.0,1.0,0.917,,IMG_0624
2003-2004,Basketball,Women's,Elimination Round,2,UP,8.0,4.0,0.667,,IMG_0624
2003-2004,Basketball,Women's,Elimination Round,3,ADMU,7.0,5.0,0.583,,IMG_0624
2003-2004,Basketball,Women's,Elimination Round,4,DLSU,7.0,5.0,0.583,,IMG_0624
2003-2004,Basketball,Women's,Elimination Round,5,UST,5.0,7.0,0.417,,IMG_0624
2003-2004,Basketball,Women's,Elimination Round,6,FEU,4.0,8.0,0.333,,IMG_0624
2003-2004,Basketball,Women's,Elimination Round,7,UE,0.0,12.0,0.000,,IMG_0624
2003-2004,Basketball,Women's,Final Standings,1,AdU,11.0,1.0,0.917,,IMG_0593
2003-2004,Basketball,Women's,Final Standings,2,UP,8.0,4.0,0.667,,IMG_0593
2003-2004,Basketball,Women's,Final Standings,3,DLSU,7.0,5.0,0.583,,IMG_0593
2003-2004,Basketball,Women's,Final Standings,4,ADMU,7.0,5.0,0.583,,IMG_0593
2003-2004,Basketball,Women's,Final Standings,5,UST,5.0,7.0,0.417,,IMG_0593
2003-2004,Basketball,Women's,Final Standings,6,FEU,4.0,8.0,0.333,,IMG_0593
2003-2004,Basketball,Women's,Final Standings,7,UE,0.0,12.0,0.000,,IMG_0593
2003-2004,Basketball,Women's,Standings,1,AdU,11.0,1.0,0.917,,IMG_0593
2003-2004,Basketball,Women's,Standings,1,UST,5.0,0.0,,,IMG_0765
2003-2004,Basketball,Women's,Standings,2,DLSU,7.0,5.0,0.583,,IMG_0593
2003-2004,Basketball,Women's,Standings,2,UE,3.0,2.0,,,IMG_0765
2003-2004,Basketball,Women's,Standings,2,UP,4.0,1.0,,,IMG_0765
2003-2004,Basketball,Women's,Standings,3,DLSU,7.0,5.0,0.583,,IMG_0593
2003-2004,Basketball,Women's,Standings,3,UE,3.0,2.0,,,IMG_0765
2003-2004,Basketball,Women's,Standings,4,UP,8.0,4.0,0.667,,IMG_0593
2003-2004,Basketball,Women's,Standings,4,FEU,2.0,3.0,,,IMG_0765
2003-2004,Basketball,Women's,Standings,5,AdU,11.0,1.0,0.917,,IMG_0593
2003-2004,Basketball,Women's,Standings,5,FEU,1.0,4.0,,,IMG_0765
2003-2004,Basketball,Women's,Standings,5,ADMU,1.0,4.0,,,IMG_0765
2003-2004,Basketball,Women's,Standings,6,ADMU,1.0,4.0,,,IMG_0765
2003-2004,Basketball,Women's,Standings,6,DLSU,0.0,5.0,,,IMG_0765
2003-2004,Chess,Boys,Standings,1,UE,,,,,IMG_0684
2003-2004,Chess,Boys,Standings,2,NU,,,,,IMG_0684
2003-2004,Chess,Boys,Standings,3,ADMU,,,,,IMG_0684
2003-2004,Chess,Boys,Standings,4,UST,,,,,IMG_0684
2003-2004,Chess,Boys,Standings,5,DLSU,,,,,IMG_0684
2003-2004,Chess,Women's,Standings,1,DLSU,,,,,IMG_0680
2003-2004,Chess,Women's,Standings,1,UP,,,,,IMG_0680
2003-2004,Chess,Women's,Standings,2,UST,,,,,IMG_0680
2003-2004,Chess,Women's,Standings,2,DLSU,,,,,IMG_0680
2003-2004,Chess,Women's,Standings,3,UE,,,,,IMG_0680
2003-2004,Chess,Women's,Standings,3,UST,,,,,IMG_0680
2003-2004,Chess,Women's,Standings,4,UP,,,,,IMG_0680
2003-2004,Chess,Women's,Standings,4,UE,,,,,IMG_0680
2003-2004,Chess,Women's,Standings,5,FEU,,,,,IMG_0680
2003-2004,Chess,Women's,Standings,6,ADMU,,,,,IMG_0680
2003-2004,Chess,Women's,Standings,7,NU,,,,,IMG_0680
2003-2004,Fencing,Men's,Elimination Round,1,1 A. VICTORINO JR (FEU)<br>16 BYE,,,,,IMG_0689
2003-2004,Fencing,Men's,Elimination Round,1,1 G. NOCOM (UST)<br>16 BYE,,,,,IMG_0694
2003-2004,Fencing,Men's,Elimination Round,1,1 R. CANLAS (UE)<br>16 BYE,,,,R. CANLAS (UE),IMG_0700
2003-2004,Fencing,Men's,Elimination Round,2,9 M. MADRAZO (UST) 15<br>8 M. GUTIERREZ (UE) 6,,,,,IMG_0689
2003-2004,Fencing,Men's,Elimination Round,2,9 E. BATO (FEU) 10<br>8 M. ENVERGA III(AdMU) 15,,,,,IMG_0694
2003-2004,Fencing,Men's,Elimination Round,2,9 C. UY (DLSU) 10<br>8 M. ENVERGA III(AdMU) 15,,,,,IMG_0700
2003-2004,Fencing,Men's,Elimination Round,3,5 Z. RAGOT (UE)<br>12 BYE,,,,,IMG_0689
2003-2004,Fencing,Men's,Elimination Round,3,5 M. LEONCIO (UST)<br>12 BYE,,,,,IMG_0694
2003-2004,Fencing,Men's,Elimination Round,3,5 G. LUBATON (UP) 15<br>12 J. UNSON (DLSU) 2,,,,,IMG_0700
2003-2004,Fencing,Men's,Elimination Round,4,13 BYE<br>4 J. CANAVERAL (UP),,,,,IMG_0689
2003-2004,Fencing,Men's,Elimination Round,4,13 BYE<br>4 E. BONGIAD (UE),,,,,IMG_0694
2003-2004,Fencing,Men's,Elimination Round,4,13 BYE<br>4 M. PABLICO (FEU),,,,,IMG_0700
2003-2004,Fencing,Men's,Elimination Round,5,3 L. HAMOY (UP)<br>14 BYE,,,,W. VIZCAYNO (FEU),IMG_0689
2003-2004,Fencing,Men's,Elimination Round,5,3 J. PETERS (UP)<br>14 BYE,,,,,IMG_0694
2003-2004,Fencing,Men's,Elimination Round,5,3 D. ATIENZA (FEU)<br>14 BYE,,,,,IMG_0700
2003-2004,Fencing,Men's,Elimination Round,6,11 BYE<br>6 J. VILLANUEVA (AdMU),,,,,IMG_0689
2003-2004,Fencing,Men's,Elimination Round,6,11 BYE<br>6 M. RAMIRO (UP),,,,,IMG_0694
2003-2004,Fencing,Men's,Elimination Round,6,11 D. YUMOL (UST) 6<br>6 C. TARCE III (UST) 15,,,,,IMG_0700
2003-2004,Fencing,Men's,Elimination Round,7,7 N. BORROMEO III (AdMU) 15<br>10 J. MADRAZO (DLSU) 13,,,,,IMG_0689
2003-2004,Fencing,Men's,Elimination Round,7,7 G. BAUTISTA (AdMU) 8<br>10 E. CRUZ (FEU) 15,,,,,IMG_0694
2003-2004,Fencing,Men's,Elimination Round,7,7 A. SANDOVAL (UP) 5<br>10 A. TACANG (AdMU) 15,,,,,IMG_0700
2003-2004,Fencing,Men's,Elimination Round,8,15 BYE<br>2 W. VIZCAYNO JR. (FEU),,,,,IMG_0689
2003-2004,Fencing,Men's,Elimination Round,8,15 BYE<br>2 E. VELEZ (UE),,,,,IMG_0694
2003-2004,Fencing,Men's,Elimination Round,8,15 BYE<br>2 J. LANDICHO (UE),,,,,IMG_0700
2003-2004,Fencing,Men's,Standings,1,FEU,5.0,,,,IMG_0688
2003-2004,Fencing,Men's,Standings,1,Z. RAGOT (UE),,,,,IMG_0689
2003-2004,Fencing,Men's,Standings,1,UST,4.0,,,,IMG_0693
2003-2004,Fencing,Men's,Standings,1,E. BONGIAD (UE)<br>M. RAMIRO (UP),,,,,IMG_0694
2003-2004,Fencing,Men's,Standings,1,UE,,,,,IMG_0695
2003-2004,Fencing,Men's,Standings,2,FEU,5.0,,,,IMG_0688
2003-2004,Fencing,Men's,Standings,2,L. HAMOY (UP),,,,,IMG_0689
2003-2004,Fencing,Men's,Standings,2,UE,,,,,IMG_0690
2003-2004,Fencing,Men's,Standings,2,ADMU,,,,,IMG_0690
2003-2004,Fencing,Men's,Standings,2,UST,,,,,IMG_0694
2003-2004,Fencing,Men's,Standings,3,UP,3.0,,,,IMG_0688
2003-2004,Fencing,Men's,Standings,3,ADMU,,,,Far Eastern Univ.,IMG_0690
2003-2004,Fencing,Men's,Standings,3,UE,,,,,IMG_0690
2003-2004,Fencing,Men's,Standings,3,FEU,4.0,,,,IMG_0699
2003-2004,Fencing,Men's,Standings,4,UP,3.0,,,,IMG_0688
2003-2004,Fencing,Men's,Standings,4,UE,,,,,IMG_0689
2003-2004,Fencing,Men's,Standings,4,ADMU,,,,,IMG_0690
2003-2004,Fencing,Men's,Standings,4,FEU,4.0,,,,IMG_0699
2003-2004,Fencing,Men's,Standings,5,UE,2.0,,,,IMG_0688
2003-2004,Fencing,Men's,Standings,5,UP,,,,,IMG_0689
2003-2004,Fencing,Men's,Standings,5,UST,2.0,,,,IMG_0693
2003-2004,Fencing,Men's,Standings,5,FEU,,,,,IMG_0695
2003-2004,Fencing,Men's,Standings,6,ADMU,2.0,,,,IMG_0688
2003-2004,Fencing,Men's,Standings,6,"VILLANUEVA, John Francis",,,,,IMG_0689
2003-2004,Fencing,Men's,Standings,6,UP,2.0,,,,IMG_0693
2003-2004,Fencing,Men's,Standings,6,UST,,,,,IMG_0694
2003-2004,Fencing,Men's,Standings,6,DLSU,,,,,IMG_0701
2003-2004,Fencing,Men's,Standings,7,ADMU,1.0,,,,IMG_0688
2003-2004,Fencing,Men's,Standings,7,UST,,,,,IMG_0695
2003-2004,Fencing,Men's,Standings,7,UP,2.0,,,,IMG_0699
2003-2004,Fencing,Men's,Standings,8,UE,1.0,,,,IMG_0688
2003-2004,Fencing,Men's,Standings,8,UST,,,,,IMG_0689
2003-2004,Fencing,Men's,Standings,8,ADMU,1.0,,,,IMG_0693
2003-2004,Fencing,Men's,Standings,8,FEU,,,,,IMG_0694
2003-2004,Fencing,Men's,Standings,9,UST,0.0,,,,IMG_0688
2003-2004,Fencing,Men's,Standings,9,FEU,1.0,,,,IMG_0693
2003-2004,Fencing,Men's,Standings,9,ADMU,,,,,IMG_0694
2003-2004,Fencing,Men's,Standings,9,DLSU,2.0,,,,IMG_0699
2003-2004,Fencing,Men's,Standings,9,UP,,,,,IMG_0700
2003-2004,Fencing,Men's,Standings,10,DLSU,0.0,,,,IMG_0688
2003-2004,Fencing,Men's,Standings,10,FEU,0.0,,,,IMG_0693
2003-2004,Fencing,Men's,Standings,10,ADMU,1.0,,,,IMG_0699
2003-2004,Fencing,Men's,Standings,11,UST,0.0,,,,IMG_0699
2003-2004,Fencing,Men's,Standings,12,DLSU,0.0,,,,IMG_0699
2003-2004,Fencing,Women's,Elimination Round,1,1 R. ESPADILLA (UE),,,,,IMG_0707
2003-2004,Fencing,Women's,Elimination Round,2,R. ESPADILLA (UE) 15,,,,,IMG_0707
2003-2004,Fencing,Women's,Elimination Round,3,S. ABADILLA (FEU) 4,,,,,IMG_0707
2003-2004,Fencing,Women's,Elimination Round,4,8 S. ABADILLA (FEU) 15,,,,,IMG_0707
2003-2004,Fencing,Women's,Elimination Round,5,5 A. DULIG (UP),,,,,IMG_0707
2003-2004,Fencing,Women's,Elimination Round,6,A. DULIG (UP) 15,,,,,IMG_0707
2003-2004,Fencing,Women's,Elimination Round,7,A. VILLANUEVA (AdMU) 13,,,,,IMG_0707
2003-2004,Fencing,Women's,Elimination Round,8,4 A. VILLANUEVA (AdMU),,,,,IMG_0707
2003-2004,Fencing,Women's,Elimination Round,9,3 N. CAROLINO (FEU),,,,V. NUESTRO (UP),IMG_0707
2003-2004,Fencing,Women's,Elimination Round,10,N. CAROLINO (FEU) 7,,,,,IMG_0707
2003-2004,Fencing,Women's,Elimination Round,11,M. GALAN (UST) 15,,,,,IMG_0707
2003-2004,Fencing,Women's,Elimination Round,12,6 M. GALAN (UST),,,,,IMG_0707
2003-2004,Fencing,Women's,Elimination Round,13,7 M. CALAPAN (UST) 15,,,,,IMG_0707
2003-2004,Fencing,Women's,Elimination Round,14,10 M. ALCALA (UE) 3,,,,,IMG_0707
2003-2004,Fencing,Women's,Elimination Round,15,V. NUESTRO (UP) 15,,,,,IMG_0707
2003-2004,Fencing,Women's,Elimination Round,16,2 V. NUESTRO (UP),,,,,IMG_0707
2003-2004,Fencing,Women's,Standings,1,UP,5.0,,,,IMG_0704
2003-2004,Fencing,Women's,Standings,1,UST,,,,,IMG_0705
2003-2004,Fencing,Women's,Standings,1,UE,4.0,,,,IMG_0706
2003-2004,Fencing,Women's,Standings,1,"NUESTRO, Virginia",,,,,IMG_0707
2003-2004,Fencing,Women's,Standings,1,ADMU,,,,,IMG_0718
2003-2004,Fencing,Women's,Standings,2,UP,5.0,,,,IMG_0704
2003-2004,Fencing,Women's,Standings,2,"TUPPIL, Ma. Ellen",,,,,IMG_0705
2003-2004,Fencing,Women's,Standings,2,UE,,,,,IMG_0707
2003-2004,Fencing,Women's,Standings,2,ADMU,5.0,,,,IMG_0711
2003-2004,Fencing,Women's,Standings,2,UST,,,,,IMG_0718
2003-2004,Fencing,Women's,Standings,3,UST,4.0,,,,IMG_0704
2003-2004,Fencing,Women's,Standings,3,UP,,,,,IMG_0705
2003-2004,Fencing,Women's,Standings,3,FEU,3.0,,,,IMG_0706
2003-2004,Fencing,Women's,Standings,3,ADMU,,,,,IMG_0708
2003-2004,Fencing,Women's,Standings,3,"NUESTRO, Virginia",,,,,IMG_0712
2003-2004,Fencing,Women's,Standings,3,UE,,,,,IMG_0713
2003-2004,Fencing,Women's,Standings,4,UST,3.0,,,,IMG_0704
2003-2004,Fencing,Women's,Standings,4,FEU,,,,,IMG_0705
2003-2004,Fencing,Women's,Standings,4,ADMU,2.0,,,,IMG_0706
2003-2004,Fencing,Women's,Standings,4,UP,,,,,IMG_0707
2003-2004,Fencing,Women's,Standings,4,UE,,,,,IMG_0718
2003-2004,Fencing,Women's,Standings,5,ADMU,3.0,,,,IMG_0704
2003-2004,Fencing,Women's,Standings,5,UP,,,,,IMG_0705
2003-2004,Fencing,Women's,Standings,5,FEU,,,,,IMG_0707
2003-2004,Fencing,Women's,Standings,5,UST,,,,Univ. of the Phils.,IMG_0708
2003-2004,Fencing,Women's,Standings,6,UE,3.0,,,,IMG_0704
2003-2004,Fencing,Women's,Standings,6,UP,,,,,IMG_0705
2003-2004,Fencing,Women's,Standings,6,UST,2.0,,,,IMG_0706
2003-2004,Fencing,Women's,Standings,6,"VILLANUEVA, Anna",,,,,IMG_0707
2003-2004,Fencing,Women's,Standings,7,FEU,3.0,,,,IMG_0704
2003-2004,Fencing,Women's,Standings,7,UST,,,,,IMG_0705
2003-2004,Fencing,Women's,Standings,8,UE,1.0,,,,IMG_0704
2003-2004,Fencing,Women's,Standings,8,ADMU,,,,,IMG_0705
2003-2004,Fencing,Women's,Standings,8,FEU,1.0,,,,IMG_0706
2003-2004,Fencing,Women's,Standings,8,UST,2.0,,,,IMG_0711
2003-2004,Fencing,Women's,Standings,9,ADMU,1.0,,,,IMG_0704
2003-2004,Fencing,Women's,Standings,9,UE,,,,,IMG_0705
2003-2004,Fencing,Women's,Standings,9,DLSU,1.0,,,,IMG_0711
2003-2004,Fencing,Women's,Standings,10,DLSU,1.0,,,,IMG_0704
2003-2004,Fencing,Women's,Standings,10,ADMU,,,,,IMG_0705
2003-2004,Fencing,Women's,Standings,10,UE,0.0,,,,IMG_0706
2003-2004,Fencing,Women's,Standings,10,FEU,1.0,,,,IMG_0711
2003-2004,Fencing,Women's,Standings,11,DLSU,1.0,,,,IMG_0704
2003-2004,Fencing,Women's,Standings,11,UE,1.0,,,,IMG_0711
2003-2004,Fencing,Women's,Standings,12,FEU,0.0,,,,IMG_0704
2003-2004,Fencing,Women's,Standings,12,DLSU,,,,,IMG_0705
2003-2004,Fencing,Women's,Standings,13,FEU,,,,,IMG_0705
2003-2004,Football,Men's,Standings,1,ADMU,7.0,2.0,,,IMG_0720
2003-2004,Football,Men's,Standings,2,UP,5.0,2.0,,,IMG_0720
2003-2004,Football,Men's,Standings,3,FEU,4.0,2.0,,,IMG_0720
2003-2004,Football,Men's,Standings,4,UST,3.0,3.0,,,IMG_0720
2003-2004,Football,Men's,Standings,5,UE,2.0,5.0,,,IMG_0720
2003-2004,Football,Men's,Standings,6,DLSU,0.0,7.0,,,IMG_0720
2003-2004,Football,Men's,Standings,7,Ariel Zerrudo (UP),,,,,IMG_0720
2003-2004,Football,Women's,Standings,1,DLSU,8.0,1.0,,,IMG_0723
2003-2004,Football,Women's,Standings,2,FEU,3.0,3.0,,,IMG_0723
2003-2004,Football,Women's,Standings,3,UST,1.0,2.0,,,IMG_0723
2003-2004,Football,Women's,Standings,4,UP,1.0,2.0,,,IMG_0723
2003-2004,Football,Women's,Standings,5,ADMU,,,,,IMG_0723
2003-2004,Football,Women's,Standings,6,Marielle Benitez (DLSU),,,,,IMG_0723
2003-2004,Judo,Women's,Standings,1,UST,,,,,IMG_0732
2003-2004,Judo,Women's,Standings,2,UP,,,,,IMG_0732
2003-2004,Judo,Women's,Standings,3,ADMU,,,,,IMG_0732
2003-2004,Judo,Women's,Standings,4,DLSU,,,,,IMG_0732
2003-2004,Judo,Women's,Standings,5,UE,,,,,IMG_0732
2003-2004,Lawn Tennis,Women's,Standings,1,DLSU,6.0,0.0,,,IMG_0739
2003-2004,Lawn Tennis,Women's,Standings,2,UST,4.0,2.0,,,IMG_0739
2003-2004,Lawn Tennis,Women's,Standings,3,UP,2.0,4.0,,,IMG_0739
2003-2004,Lawn Tennis,Women's,Standings,4,ADMU,0.0,6.0,,,IMG_0739
2003-2004,Softball,Men's,Elimination Round,1,AdU,10.0,3.0,,,IMG_0743
2003-2004,Softball,Men's,Elimination Round,2,UST,8.0,6.0,,,IMG_0743
2003-2004,Softball,Men's,Elimination Round,3,UE,9.0,3.0,,,IMG_0743
2003-2004,Softball,Men's,Elimination Round,4,UP,6.0,5.0,,,IMG_0743
2003-2004,Softball,Men's,Elimination Round,5,DLSU,2.0,8.0,,,IMG_0743
2003-2004,Softball,Men's,Elimination Round,6,ADMU,0.0,10.0,,,IMG_0743
2003-2004,Table Tennis,Juniors,Standings,1,UE,,,,10,IMG_0754
2003-2004,Table Tennis,Juniors,Standings,2,UP,,,,9,IMG_0754
2003-2004,Table Tennis,Juniors,Standings,3,UST,,,,8,IMG_0754
2003-2004,Table Tennis,Juniors,Standings,4,ADMU,,,,7,IMG_0754
2003-2004,Table Tennis,Juniors,Standings,5,NU,,,,6,IMG_0754
2003-2004,Table Tennis,Juniors,Standings,6,DLSU,,,,5,IMG_0754
2003-2004,Table Tennis,Men's,Standings,1,UP,7.0,0.0,,14,IMG_0748
2003-2004,Table Tennis,Men's,Standings,1,UST,7.0,0.0,,14,IMG_0749
